movie_id,tmdb_id,poster,tagline,overview
1,862,https://image.tmdb.org/t/p/w300_and_h450_bestv2/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,Hang on for the comedy that goes to infinity and beyond!,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences."
2,8844,https://image.tmdb.org/t/p/w300_and_h450_bestv2/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,Roll the dice and unleash the excitement!,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures."
3,15602,https://image.tmdb.org/t/p/w300_and_h450_bestv2/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,Still Yelling. Still Fighting. Still Ready for Love.,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max."
4,31357,https://image.tmdb.org/t/p/w300_and_h450_bestv2/qJU6rfil5xLVb5HpJsmmfeSK254.jpg,Friends are the people who let you be yourself... and never let you forget it.,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe."
5,11862,https://image.tmdb.org/t/p/w300_and_h450_bestv2/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,Just when his world is back to normal... he's in for the surprise of his life!,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own."
6,949,https://image.tmdb.org/t/p/w300_and_h450_bestv2/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,A Los Angeles crime saga.,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.
7,11860,https://image.tmdb.org/t/p/w300_and_h450_bestv2/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg,You are cordially invited to the most surprising merger of the year.,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it."
8,45325,https://image.tmdb.org/t/p/w300_and_h450_bestv2/vIG8hWOa7DyLMRiurzKwVAnIYoU.jpg,A lot of kids get into trouble. These two invented it.,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence."
9,9091,https://image.tmdb.org/t/p/w300_and_h450_bestv2/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg,Terror goes into overtime.,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.
10,710,https://image.tmdb.org/t/p/w300_and_h450_bestv2/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,No limits. No fears. No substitutes.,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon"
11,9087,https://image.tmdb.org/t/p/w300_and_h450_bestv2/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,Why can't the most powerful man in the world have the one thing he wants most?,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings."
12,12110,https://image.tmdb.org/t/p/w300_and_h450_bestv2/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,You'll laugh until you die...then you'll rise from the dead and laugh again!,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count."
13,21032,https://image.tmdb.org/t/p/w300_and_h450_bestv2/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,Part Dog. Part Wolf. All Hero.,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska."
14,10858,https://image.tmdb.org/t/p/w300_and_h450_bestv2/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.
15,1408,https://image.tmdb.org/t/p/w300_and_h450_bestv2/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids."
16,524,https://image.tmdb.org/t/p/w300_and_h450_bestv2/4TS5O1IP42bY2BvgMxL156EENy.jpg,No one stays at the top forever.,"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger."
17,4584,https://image.tmdb.org/t/p/w300_and_h450_bestv2/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg,Lose your heart and come to your senses.,"The Dashwood sisters, sensible Elinor and passionate Marianne, whose chances at marriage seem doomed by their family's sudden loss of fortune.  When Henry Dashwood dies unexpectedly, his estate must pass on by law to his son from his first marriage, John and wife Fanny. But these circumstances leave Mr. Dashwood's current wife, and daughters Elinor, Marianne and Margaret, without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men."
18,5,https://image.tmdb.org/t/p/w300_and_h450_bestv2/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.
19,9273,https://image.tmdb.org/t/p/w300_and_h450_bestv2/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,New animals. New adventures. Same hair.,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war."
20,11517,https://image.tmdb.org/t/p/w300_and_h450_bestv2/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,"Get on, or GET OUT THE WAY!","When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him."
21,8012,https://image.tmdb.org/t/p/w300_and_h450_bestv2/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,Attitude plays a part.,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different."
22,1710,https://image.tmdb.org/t/p/w300_and_h450_bestv2/lKNjGQXTy5WkSjAtLzLzAN9IHCD.jpg,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they’re next.",An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
23,9691,https://image.tmdb.org/t/p/w300_and_h450_bestv2/kgqS4jn60E8UIExfceMUExB3ZKK.jpg,In the shadows of life. In the business of death. One man found a reason to live.,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself."
24,12665,https://image.tmdb.org/t/p/w300_and_h450_bestv2/kImKATjY4EsK5MDgrmpJdGbQEbq.jpg,An extraordinary encounter with another human being.,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined."
25,451,https://image.tmdb.org/t/p/w300_and_h450_bestv2/nqc2LaUWB4ePf6IqpJ6D8apBDvn.jpg,I Love You... The Way You Are.,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera."
